entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
Miami Auto Museum,,33181,2000,Northeast 146th Street,Florida,"2000 Northeast 146th Street, North Miami, FL 33181, United States of America",-80.15930900317599,25.90985915
The Fair,University Park,33199,,Southwest 20th Street,Florida,"Southwest 20th Street, University Park, FL 33199, United States of America",-80.37065887981933,25.7503429
Main Street Stage,University Park,33199,,Southwest 114th Avenue,Florida,"Southwest 114th Avenue, University Park, FL 33199, United States of America",-80.3716636,25.7494041
Patricia & Phillip Frost Art Museum,,33199,10975,Southwest 17th Street,Florida,"10975 Southwest 17th Street, Miami-Dade County, FL 33199, United States of America",-80.37303868738225,25.75383015
Student Art Gallery,,33199,11200,Southwest 8th Street,Florida,"11200 Southwest 8th Street, Miami-Dade County, FL 33199, United States of America",-80.3730668,25.7556035
,,33178,,Northwest 99th Avenue,Florida,"Doral, FL 33178, United States of America",-80.3585759,25.84333795
Cobb Dolphin 19 Cinemas,,33172,11471,Northwest 12th Street,Florida,"11471 Northwest 12th Street, Sweetwater, FL 33172, United States of America",-80.38045698683692,25.787911700000002
Dave & Buster's,,33172,11401,Northwest 12th Street,Florida,"11401 Northwest 12th Street, Sweetwater, FL 33172, United States of America",-80.3813063,25.7873485
iPic Theaters,,33160,3701,Northeast 163rd Street,Florida,"3701 Northeast 163rd Street, North Miami, FL 33160, United States of America",-80.13517132942033,25.93150945
Movies @ The Falls 12,Kendall,33176,9000,Southwest 136th Street,Florida,"9000 Southwest 136th Street, Kendall, FL 33176, United States of America",-80.33947955957603,25.644418950000002
Barn Theater,,33014,,Miami Lakeway South,Florida,"Miami Lakeway South, Miami Lakes, FL 33014, United States of America",-80.3094952,25.9042614
AMC Tamiami  18,,33175,11865,Southwest 26th Street,Florida,"11865 Southwest 26th Street, Miami-Dade County, FL 33175, United States of America",-80.3897370850774,25.7477721
Public Water Park,Tamiami,33184,,Southwest 124th Avenue,Florida,"Southwest 124th Avenue, Tamiami, FL 33184, United States of America",-80.39622982845736,25.76361405
CMX Cinemas Miami Lakes 17,,33014,,Main Street,Florida,"Main Street, Miami Lakes, FL 33014, United States of America",-80.3099887,25.9134411
Aquarium Depot,Kendall,33186,11762,Southwest 88th Street,Florida,"11762 Southwest 88th Street, Kendall, FL 33186, United States of America",-80.3862483,25.6856619
,,33178,,Northwest 80th Street,Florida,"Doral, FL 33178, United States of America",-80.38217559579647,25.846269300000003
Cobb Grand,Hialeah,33015,17355,Northwest 59th Avenue,Florida,"17355 Northwest 59th Avenue, Hialeah, FL 33015, United States of America",-80.29747356533478,25.93144905
Aventura Arts & Cultural Center,,33180,3385,Northeast 188th Street,Florida,"3385 Northeast 188th Street, Aventura, FL 33180, United States of America",-80.1345562915541,25.9498927
Regal Cinemas,,33183,8595,Southwest 124th Avenue,Florida,"8595 Southwest 124th Avenue, Kendall Village Center, FL 33183, United States of America",-80.39323760085671,25.6885255
Chuck E. Cheese's,,33183,8701,Southwest 124th Avenue,Florida,"8701 Southwest 124th Avenue, Miami-Dade County, FL 33183, United States of America",-80.3924097,25.6877012
AMC Aventura 24,,33180,19051,Biscayne Boulevard,Florida,"19051 Biscayne Boulevard, Aventura, FL 33180, United States of America",-80.14154098136427,25.95577685
Arcade Odyssey,Kendall,33186,12045,Southwest 117th Avenue,Florida,"12045 Southwest 117th Avenue, Kendall, FL 33186, United States of America",-80.3826028,25.6553404
Tidal Cove Water Park,Aventura,33180,19999,West Country Club Drive,Florida,"19999 West Country Club Drive, Aventura, FL 33180, United States of America",-80.13874426809198,25.9615701
Chuck E. Cheese's,Aventura,33180,,Ives Dairy Road,Florida,"Ives Dairy Road, Aventura, FL 33180, United States of America",-80.1433012,25.9641267
,Miramar,33056,,South University Drive,Florida,"Miramar, FL 33056, United States of America",-80.24778276651234,25.97524125
Chuck E. Cheese's,Peters,33197,,Southwest 186th Street,Florida,"Southwest 186th Street, Peters, FL 33197, United States of America",-80.3531428,25.5967647
The Miami-Dade Zoological Park and Gardens,,33177,,Southwest 130th Place,Florida,"Southwest 130th Place, Miami-Dade County, FL 33177, United States of America",-80.39991952426311,25.6133741
Gold Coast Railroad Museum,,33177,12450,Burr Road,Florida,"12450 Burr Road, Miami-Dade County, FL 33177, United States of America",-80.40075092450773,25.61717555
,,33177,,Promenade,Florida,"Miami-Dade County, FL 33177, United States of America",-80.39827868457179,25.608477299999997
Critter Connection,,33177,,The Asian Trail,Florida,"The Asian Trail, Miami-Dade County, FL 33177, United States of America",-80.40105206754069,25.6118184
Wings of Asia,,33177,,The Asian Trail,Florida,"The Asian Trail, Miami-Dade County, FL 33177, United States of America",-80.4002135249442,25.6105189
Main Stage,,33177,,Village Plaza,Florida,"Village Plaza, Miami-Dade County, FL 33177, United States of America",-80.3982695,25.6051472
Regal Southland Mall,,33189,20505,South Dixie Highway,Florida,"20505 South Dixie Highway, Cutler Bay, FL 33189, United States of America",-80.3675547,25.5752782
Wings Over Miami Air Museum,,33196,14710,Southwest 128th Street,Florida,"14710 Southwest 128th Street, Miami-Dade County, FL 33196, United States of America",-80.43368405532442,25.65003255
Building 69,Pembroke Pines,33023,,Southwest 72nd Avenue,Florida,"Southwest 72nd Avenue, Pembroke Pines, FL 33023, United States of America",-80.2334522842005,26.00703535
,,33189,,Southwest 211th Street,Florida,"Cutler Bay, FL 33189, United States of America",-80.36883762504242,25.57051155
South Miami-Dade Cultural Arts Center,,33189,10950,Southwest 211th Street,Florida,"10950 Southwest 211th Street, Cutler Bay, FL 33189, United States of America",-80.36928080228014,25.57069395
Boxroom Escape Games,Hollywood,33020,2042,Hollywood Boulevard,Florida,"2042 Hollywood Boulevard, Hollywood, FL 33020, United States of America",-80.148479,26.0112114
Chuck E. Cheese's,Pembroke Pines,33024,8515,Pines Boulevard,Florida,"8515 Pines Boulevard, Pembroke Pines, FL 33024, United States of America",-80.2560348,26.0100608
,Hollywood,33024,,Garfield Street,Florida,"Hollywood, FL 33024, United States of America",-80.22353064708955,26.01911045
Fletcher Arts and Cultural Cener,Pembroke Pines,33024,,Johnson Street,Florida,"Johnson Street, Pembroke Pines, FL 33024, United States of America",-80.24720994732417,26.016132849999998
Kid's Water Park,,33196,,Southwest 95th Terrace,Florida,"Southwest 95th Terrace, Miami-Dade County, FL 33196, United States of America",-80.4698899,25.6772004
Flipper's Hollywood Cinema 10,Hollywood,33024,,Harding Street,Florida,"Harding Street, Hollywood, FL 33024, United States of America",-80.2280131,26.0257378
Hollywood Beach Theatre,Hollywood,33019,,Hollywood Broadwalk,Florida,"Hollywood Broadwalk, Hollywood, FL 33019, United States of America",-80.11513535,26.01952035
,Pembroke Pines,33024,,Northwest 81st Avenue,Florida,"Pembroke Pines, FL 33024, United States of America",-80.24975570000001,26.02590955
