Hotel Name,city,postcode,housenumber,street,state,address2,longitude,latitude
Ocean Five Hotel,Miami Beach,33139,436,Ocean Drive,Florida,"436 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13236971262354,25.7739866
Ithaca of South Beach Hotel,Miami Beach,33139,601,6th Street,Florida,"601 6th Street, Miami Beach, FL 33139, United States of America",-80.13245090588416,25.7756431
Bentley South Beach,Miami Beach,33139,,Ocean Drive,Florida,"Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13210286536119,25.7749366
The Mutiny Hotel,Miami,33133,2951,South Bayshore Drive,Florida,"2951 South Bayshore Drive, Miami, FL 33133, United States of America",-80.23994488583119,25.7272444
The Savoy Hotel,Miami Beach,33139,,Ocean Drive,Florida,"Ocean Drive, Miami Beach, FL 33139, United States of America",-80.1316937,25.77372405
Metropole South Beach,Miami Beach,33139,635,Collins Avenue,Florida,"635 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13224742108645,25.776125450000002
The Fritz Hotel,Miami Beach,33139,524,Ocean Drive,Florida,"524 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13210937675115,25.77520235
The Barbizon,Miami Beach,33139,530,Ocean Drive,Florida,"530 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13204975309594,25.77545485
Beach Park Hotel,Miami Beach,33139,600,Ocean Drive,Florida,"600 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13192324100315,25.7757515
Clinton Hotel South Beach,Miami Beach,33139,825,Washington Avenue,Florida,"825 Washington Avenue, Miami Beach, FL 33139, United States of America",-80.13287469593132,25.77879035
"Hotel Arya, BW Premier Collection",Miami,33133,2889,McFarlane Road,Florida,"2889 McFarlane Road, Miami, FL 33133, United States of America",-80.24063347634609,25.7270867
Hotel Chelsea,Miami Beach,33139,944,Washington Avenue,Florida,"944 Washington Avenue, Miami Beach, FL 33139, United States of America",-80.13331921432109,25.78029865
Hotel Astor,Miami Beach,33139,956,Washington Avenue,Florida,"956 Washington Avenue, Miami Beach, FL 33139, United States of America",-80.13327355639788,25.780558399999997
Park Central Hotel,Miami Beach,33139,640,Ocean Drive,Florida,"640 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13183255289705,25.77637185
Whitelaw Hotel,Miami Beach,33139,808,Collins Avenue,Florida,"808 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13248565187915,25.77845695
"The Gabriel Miami South Beach, Curio Collection by Hilton",Miami Beach,33139,640,Ocean Drive,Florida,"640 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13180335,25.7765191
Posh South Beach Hostel,Miami Beach,33139,820,Collins Avenue,Florida,"820 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13244494511022,25.77860745
Majestic Hotel,Miami Beach,33139,660,Ocean Drive,Florida,"660 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13176817809622,25.7766597
Avalon Hotel,Miami Beach,33139,700,Ocean Drive,Florida,"700 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.1317034885106,25.77696095
Moxy Miami South Beach,Miami Beach,33139,915,Washington Avenue,Florida,"915 Washington Avenue, Miami Beach, FL 33139, United States of America",-80.13274128902498,25.77980495
Miami Beach International Travellers Hostel,Miami Beach,33139,,9th Street,Florida,"9th Street, Miami Beach, FL 33139, United States of America",-80.132741,25.7793745
Hotel Shelley,Miami Beach,33139,844,Collins Avenue,Florida,"844 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1323559,25.779009199999997
Beacon Hotel,Miami Beach,33139,720,Ocean Drive,Florida,"720 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13165755,25.7771597
Jurny suites Miami Beach,Miami Beach,33139,852,Collins Avenue,Florida,"852 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1323472866767,25.77912585
