name,city,postcode,street,address2,Transport_Type,Transport,Route,longitude,latitude
Southwest 3rd Avenue & Southwest 29th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 3rd Av & SW 29th Rd,-80.2110835,25.7536098
West Flagler Street & Northwest 8th Avenue,Miami,33128,West Flagler Street,"West Flagler Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & NW 8th Av,-80.2083551,25.7737756
Biscayne Boulevard & Northeast 7th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 7th St,-80.1891204,25.7810182
Southwest 3rd Avenue & Southwest 30th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",Miami-Dade Transit,bus_stop,SW 3rd Av & SW 30th Rd,-80.2113985,25.7530065
Northwest 6th Street & Northwest 4th Avenue,Miami,33136,Northwest 6th Street,"Northwest 6th Street, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 6th St & NW 4th Av,-80.2010222,25.7797759
Northwest 5th Street & Northwest 6th Avenue,Miami,33128,Northwest 5th Street,"Northwest 5th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 5th St & NW 6th Av,-80.203654,25.7785837
Southwest 1st Street & Southwest 10th Avenue,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 10th Av,-80.2108454,25.7725629
Northwest 8th Street & Northwest 1st Avenue,Miami,33136,Northwest 8th Street,"Northwest 8th Street, Miami, FL 33136, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,NW 8th St & NW 1st Av,-80.1961003,25.7817157
Northwest 8th Street & Northwest 1st Court,Miami,33136,Northwest 8th Street,"Northwest 8th Street, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 8th St & NW 1st Av,-80.1966399,25.7816939
Northwest 2nd Avenue & Northwest 8th Street,Miami,33136,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 2nd Av & NW 8th St,-80.1980679,25.7814507
Northwest 6th Street & Northwest 5th Avenue,Miami,33136,Northwest 6th Street,"Northwest 6th Street, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 6th St & NW 5th Av,-80.2027028,25.7797271
Northwest 2nd Avenue & Northwest 8th Street,Miami,33136,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33136, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,NW 2nd Av & NW 8th St,-80.197883,25.7815104
Southwest 8th Street & Southwest 12th Avenue,Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 12th Av,-80.2141221,25.7657926
